ts, broker, tariff id, power type, customers
359, default broker, 26, CONSUMPTIONnull
default broker, 35, CONSUMPTIONnull
default broker, 43, CONSUMPTIONnull
default broker, 52, CONSUMPTIONnull
default broker, 62, CONSUMPTIONnull
default broker, 70, CONSUMPTIONnull
default broker, 81, CONSUMPTIONnull
default broker, 84, PRODUCTIONnull
default broker, 92, PRODUCTIONnull
default broker, 100, PRODUCTIONnull
default broker, 111, PRODUCTIONnull
default broker, 114, PRODUCTIONnull
default broker, 122, PRODUCTIONnull
default broker, 825, CONSUMPTIONnull
default broker, 828, CONSUMPTIONnull
default broker, 831, CONSUMPTIONnull
default broker, 834, CONSUMPTIONnull
default broker, 837, CONSUMPTIONnull
default broker, 840, CONSUMPTIONnull
default broker, 843, CONSUMPTIONnull
default broker, 846, CONSUMPTIONnull
default broker, 1535, CONSUMPTIONnull
default broker, 1538, CONSUMPTIONnull
default broker, 1541, CONSUMPTIONnull
default broker, 1544, CONSUMPTIONnull
default broker, 1547, CONSUMPTIONnull
default broker, 1550, CONSUMPTIONnull
default broker, 1553, CONSUMPTIONnull
default broker, 1556, CONSUMPTIONnull
default broker, 1681, CONSUMPTIONnull
default broker, 1684, CONSUMPTIONnull
default broker, 1687, CONSUMPTIONnull
default broker, 1690, CONSUMPTIONnull
default broker, 1796, CONSUMPTIONnull
default broker, 1799, CONSUMPTIONnull
default broker, 1802, CONSUMPTIONnull
default broker, 1805, CONSUMPTIONnull
default broker, 1818, CONSUMPTIONnull
default broker, 1825, CONSUMPTIONnull
default broker, 1832, CONSUMPTIONnull
default broker, 1839, CONSUMPTIONnull
default broker, 1846, CONSUMPTIONnull
default broker, 1858, CONSUMPTIONnull
default broker, 1865, CONSUMPTIONnull
default broker, 1872, CONSUMPTIONnull
default broker, 1879, CONSUMPTIONnull
default broker, 1916, STORAGEnull
default broker, 1922, STORAGEnull
default broker, 1928, STORAGEnull
default broker, 1934, STORAGEnull
default broker, 1940, STORAGEnull
default broker, 1946, STORAGEnull
default broker, 1952, STORAGEnull
default broker, 1958, STORAGEnull
default broker, 1964, STORAGEnull
default broker, 1970, STORAGEnull
default broker, 1976, STORAGEnull
default broker, 1982, STORAGEnull
default broker, 1988, STORAGEnull
default broker, 1994, STORAGEnull
default broker, 2000, STORAGEnull
default broker, 2006, STORAGEnull
default broker, 2012, STORAGEnull
default broker, 2018, STORAGEnull
default broker, 2024, STORAGEnull
default broker, 2030, STORAGEnull
default broker, 2036, STORAGEnull
default broker, 2042, STORAGEnull
default broker, 2048, STORAGEnull
default broker, 2054, STORAGEnull
default broker, 2060, STORAGEnull
default broker, 2066, STORAGEnull
default broker, 2072, STORAGEnull
default broker, 2078, STORAGEnull
default broker, 2084, STORAGEnull
default broker, 2090, STORAGEnull
default broker, 2148, CONSUMPTIONnull
default broker, 2151, CONSUMPTIONnull
default broker, 2154, CONSUMPTIONnull
default broker, 2157, CONSUMPTIONnull
default broker, 2160, CONSUMPTIONnull
default broker, 2163, CONSUMPTIONnull
default broker, 2166, CONSUMPTIONnull
default broker, 2169, CONSUMPTIONnull
default broker, 2172, CONSUMPTIONnull
default broker, 2175, CONSUMPTIONnull
default broker, 2178, CONSUMPTIONnull
default broker, 2181, CONSUMPTIONnull
default broker, 2184, CONSUMPTIONnull
default broker, 2187, CONSUMPTIONnull
default broker, 2259, CONSUMPTIONnull
default broker, 2262, CONSUMPTIONnull
default broker, 2265, CONSUMPTIONnull
default broker, 2268, CONSUMPTIONnull
default broker, 2271, CONSUMPTIONnull
default broker, 2274, CONSUMPTIONnull
default broker, 2277, CONSUMPTIONnull
default broker, 2280, CONSUMPTIONnull
default broker, 2283, CONSUMPTIONnull
default broker, 2286, CONSUMPTIONnull
default broker, 2289, CONSUMPTIONnull
